Run Name,Strategy,Status,Stop Reason,Total Iters,Exec Time (s),Size,Obstacles,Border,Sprayer,Initial Obj,Final Obj,Improvement (%),Final Coverage (%),Final Dist,Final Maneuver,Plot,History File
inst_02_small_none_no_border_spray20_first,first,Success,max_time_secs,2402,900.1885452270508,small,none,No,20,539.1544083076175,330.25197583221467,38.74630889713738,100.0,328.55570726977754,1.6962685624371368,,agricultural_csp/results\inst_02_small_none_no_border_spray20_first_history.csv,agricultural_csp/results\inst_02_small_none_no_border_spray20_first_final.jpg
inst_12_small_few_large_with_border_spray20_first,first,Success,max_time_secs,11804,1800.1537420749664,small,few_large,Yes,20,46.44730941704036,44.41000761874591,4.386264401242186,85.08968609865471,43.22450517911733,0.7381930225882234,agricultural_csp/results\inst_12_small_few_large_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_12_small_few_large_with_border_spray20_first_history.csv
inst_20_medium_many_small_with_border_spray20_first,first,Success,max_time_secs,870,1837.6791577339172,medium,many_small,Yes,20,1542.2686887986624,1397.743437660782,9.370951520156783,98.04155720085981,1378.8595944491237,18.825089927684164,agricultural_csp/results\inst_20_medium_many_small_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_20_medium_many_small_with_border_spray20_first_history.csv
inst_16_medium_none_with_border_spray20_first,first,Success,max_time_secs,1083,1852.449470758438,medium,none,Yes,20,1542.2313022437309,1375.8605793133183,10.78766347748009,99.84601847778266,1371.5822274063812,4.273732461270592,agricultural_csp/results\inst_16_medium_none_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_16_medium_none_with_border_spray20_first_history.csv
inst_19_medium_many_small_with_border_spray12_first,first,Success,max_time_secs,1089,1852.5188293457031,medium,many_small,Yes,12,3181.118318454063,2549.7052218246704,19.848777487039275,98.621313142728,2482.801148677237,66.86271254171524,agricultural_csp/results\inst_19_medium_many_small_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_19_medium_many_small_with_border_spray12_first_history.csv
inst_15_medium_none_with_border_spray12_first,first,Success,max_time_secs,1050,1862.919205904007,medium,none,Yes,12,3447.1411572052402,2964.770977015774,13.993339935651097,98.74454148471615,2885.8003850878154,78.93292817250016,agricultural_csp/results\inst_15_medium_none_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_15_medium_none_with_border_spray12_first_history.csv
inst_18_medium_many_small_no_border_spray20_first,first,Success,max_time_secs,1596,1875.3711504936218,medium,many_small,No,20,2813.03009118541,2086.761072965223,25.818032323789957,99.93920972644376,2063.184393383131,23.5748558738851,agricultural_csp/results\inst_18_medium_many_small_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_18_medium_many_small_no_border_spray20_first_history.csv
inst_22_medium_few_large_no_border_spray20_first,first,Success,max_time_secs,1498,1880.883902311325,medium,few_large,No,20,2589.0399334442595,1734.4918947581366,33.006367636411774,99.91680532445923,1714.6122369035086,19.87716201436194,agricultural_csp/results\inst_22_medium_few_large_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_22_medium_few_large_no_border_spray20_first_history.csv
inst_21_medium_few_large_no_border_spray12_first,first,Success,max_time_secs,1397,1888.8057703971863,medium,few_large,No,12,4332.031049472159,3168.1014194241184,26.867989096935506,100.0,3131.20123224193,36.90018718218837,agricultural_csp/results\inst_21_medium_few_large_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_21_medium_few_large_no_border_spray12_first_history.csv
inst_13_medium_none_no_border_spray12_first,first,Success,max_time_secs,1269,1901.8322806358337,medium,none,No,12,4917.0,3239.3975345764156,34.11841499742901,100.0,3188.995413006788,50.402121569627305,agricultural_csp/results\inst_13_medium_none_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_13_medium_none_no_border_spray12_first_history.csv
inst_17_medium_many_small_no_border_spray12_first,first,Success,max_time_secs,1667,1902.5010251998901,medium,many_small,No,12,4992.433041378954,3814.201754801584,23.60034229426405,99.69632553902217,3711.691498472787,102.50114609496768,agricultural_csp/results\inst_17_medium_many_small_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_17_medium_many_small_no_border_spray12_first_history.csv
inst_14_medium_none_no_border_spray20_first,first,Success,max_time_secs,919,1920.2292039394379,medium,none,No,20,2862.0,1961.0729218082474,31.478933549676892,100.0,1945.900457819887,15.172463988360416,agricultural_csp/results\inst_14_medium_none_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_14_medium_none_no_border_spray20_first_history.csv
inst_23_medium_few_large_with_border_spray12_first,first,Success,max_time_secs,1399,1834.6939420700073,medium,few_large,Yes,12,3175.159200551344,2543.10612419527,19.906185373203417,96.54261428899609,2470.6149262367335,72.38747638720646,agricultural_csp/results\inst_23_medium_few_large_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_23_medium_few_large_with_border_spray12_first_history.csv
inst_24_medium_few_large_with_border_spray20_first,first,Success,max_time_secs,892,1819.2947840690613,medium,few_large,Yes,20,1337.2303183542122,1126.0950631563,15.78899702616416,98.73577749683943,1105.2459203399426,20.811216141262534,agricultural_csp/results\inst_24_medium_few_large_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_24_medium_few_large_with_border_spray20_first_history.csv
inst_32_large_many_small_with_border_spray20_first,first,Success,max_time_secs,906,1890.1989977359772,large,many_small,Yes,20,3875.1751396248033,3155.639336877564,18.567826661297822,99.0500739892119,3101.5016183172675,54.10922077997297,agricultural_csp/results\inst_32_large_many_small_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_32_large_many_small_with_border_spray20_first_history.csv
inst_28_large_none_with_border_spray20_first,first,Success,max_time_secs,644,1950.8575644493103,large,none,Yes,20,4573.136891279728,3627.639116021209,20.67503767624885,99.61306153265383,3585.6454747837815,41.98203308340661,agricultural_csp/results\inst_28_large_none_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_28_large_none_with_border_spray20_first_history.csv
inst_30_large_many_small_no_border_spray20_first,first,Success,max_time_secs,933,1957.8269708156586,large,many_small,No,20,5913.016673389808,4422.819953214501,25.201970542068647,99.85657299090136,4341.352467980931,81.46318242329748,agricultural_csp/results\inst_30_large_many_small_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_30_large_many_small_no_border_spray20_first_history.csv
inst_27_large_none_with_border_spray12_first,first,Success,max_time_secs,1197,1990.5558030605316,large,none,Yes,12,8495.064205079962,6611.841185117765,22.168437748075505,99.36030103480715,6463.088132515382,148.73386163342715,agricultural_csp/results\inst_27_large_none_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_27_large_none_with_border_spray12_first_history.csv
inst_31_large_many_small_with_border_spray12_first,first,Success,max_time_secs,1057,1961.8327453136444,large,many_small,Yes,12,8328.08606557377,6321.897158890089,24.089435326284224,98.84197483797179,6168.734747513106,153.12767062212183,agricultural_csp/results\inst_31_large_many_small_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_31_large_many_small_with_border_spray12_first_history.csv
